net,length_um
partial_sum15[6],46.6
net104,46.54
_1249_,46.47
_0421_,46.44
_0679_,46.38
net430,46.24
_1294_,46.04
net170,45.98
_0858_,45.96
net455,45.9
_2128_,45.815
partial_sum14_3[6],45.76
_0500_,45.4
_0712_,45.4
_1078_,45.4
final_sum4[1],45.4
_1211_,45.36
partial_sum15[10],45.3
_0723_,45.06
_1652_,45.02
net474,44.96
_2291_,44.88
final_sum4[6],44.84
_0496_,44.64
_1241_,44.62
net443,44.6
_0691_,44.38
final_sum4[0],44.38
final_sum4[2],44.38
final_sum4[3],44.38
final_sum4[4],44.38
partial_sum14_3[8],44.38
_0155_,44.08
_1274_,43.955
_0153_,43.82
final_sum3[9],43.64
_1281_,43.58
final_sum7[2],43.52
net64,43.38
_0485_,43.28
net169,43.28
_0426_,43.08
_0323_,43.04
_1698_,43
final_sum3[11],42.88
net503,42.6
final_sum7[12],42.54
_1583_,42.38
final_sum7[9],42.36
net302,42.36
net330,42.3
net63,42.14
_2316_,42.06
_0774_,41.865
net62,41.72
final_sum6[9],41.7
_1056_,41.56
net165,41.44
_1080_,41.03
_0839_,40.98
net442,40.94
final_sum7[1],40.76
_1865_,40.7
_0204_,40.58
net161,40.58
_2123_,40.54
_2305_,40.2
net384,40.2
final_sum5[10],39.82
_1516_,39.8
_2269_,39.8
final_sum3[3],39.76
_0868_,39.66
_0573_,39.44
net475,39.44
_1264_,39.36
final_sum8[0],39.24
_0996_,39.235
final_sum3[12],39.14
_1171_,38.94
_1175_,38.9
_0504_,38.88
net492,38.88
partial_sum15[7],38.86
final_sum6[11],38.77
_2112_,38.69
_0316_,38.52
final_sum3[7],38.44
_0081_,38.34
final_sum7[8],38.34
_0917_,38.14
final_sum4[5],37.94
partial_sum14_3[11],37.84
final_sum8[4],37.78
_1381_,37.58
_2342_,37.58
_1665_,37.56
net86,37.54
_1457_,37.48
final_sum8[3],37.48
net477,37.42
_1364_,37.33
_0301_,37.32
final_sum3[8],37.08
_0675_,37.06
partial_sum14_1[13],37.04
_0565_,37.02
_1129_,36.98
_0863_,36.9
net151,36.88
_0520_,36.76
partial_sum15[5],36.74
net378,36.66
final_sum5[11],36.62
final_sum7[3],36.62
net508,36.62
_0395_,36.58
net61,36.58
net427,36.42
_0230_,36.4
_0226_,36.34
net166,36.32
final_sum5[6],36.16
final_sum7[0],36.16
final_sum3[4],36.1
final_sum3[5],36.1
partial_sum15[1],36.08
_0227_,35.96
final_sum6[10],35.78
partial_sum15_1[4],35.7
final_sum6[12],35.62
_1806_,35.58
_1081_,35.56
partial_sum14_1[12],35.44
_0607_,35.3
net327,35.28
final_sum5[5],35.24
final_sum5[7],35.24
final_sum6[0],35.24
